price,address,features,is_active,url,id
3085+ Studio,"Anton Pacific, 800 Pacific Ave, Santa Cruz, CA",No features available,No status available,/apartments/santa-cruz-ca/anton-pacific/CcP69K/,0
3495+ 1 bd,"Oceanview, 222 Columbia St, Santa Cruz, CA",No features available,No status available,/apartments/santa-cruz-ca/oceanview/5XmwpC/,1
2610+ Studio,"Cypress Poit101 Felix St, Santa Cruz, CA",No features available,No status available,/apartments/santa-cruz-ca/cypress-point/5XjBjz/,2
3100+ Studio,"Nanda on Pacific | 1547 Pacific Ave, Santa Cruz, CA",No features available,No status available,/apartments/santa-cruz-ca/nanda-on-pacific/9NYZv9/,3
3250+ Studio,"Five55 | 555 Pacific Ave, Santa Cruz, CA",No features available,No status available,/apartments/santa-cruz-ca/five55/9NYf9D/,4
4447/mo,"Chestnut Street, 143 Chestnut St #A103, Santa Cruz, CA 95060","2 bds, 2 ba, 1,040 sqft",Apartment for rent,https://www.zillow.com/apartments/santa-cruz-ca/chestnut-street/5XpPk3/,5
3650+ 1 bd,"The Hilltop | 363 Western Dr, Santa Cruz, CA",No features available,No status available,"/b/building/36.963806,-122.057686_ll/",6
3875/mo,"831 Nobel Dr, Santa Cruz, CA 95060","2 bds, 1 ba, 900 sqft",House for rent,https://www.zillow.com/homedetails/831-Nobel-Dr-Santa-Cruz-CA-95060/16102473_zpid/,7
3400+ 2 bds,"721 Riverside Ave, Santa Cruz, CA",No features available,No status available,"/b/building/36.97106,-122.02152_ll/",8
3700/mo,"222 River St, Santa Cruz, CA 95060","2 bds, 1 ba, 750 sqft",Apartment for rent,https://www.zillow.com/homedetails/222-River-St-Santa-Cruz-CA-95060/16108814_zpid/,9
3995/mo,"102 Pine Pl APT 1, Santa Cruz, CA 95060","2 bds, 1 ba, 800 sqft",Apartment for rent,https://www.zillow.com/homedetails/102-Pine-Pl-APT-1-Santa-Cruz-CA-95060/2078821680_zpid/,10
